prompt,Result_amazon.nova-lite-v1:0,Result_amazon.nova-micro-v1:0,Result_amazon.nova-premier-v1:0,Result_amazon.nova-pro-v1:0,Result_anthropic.claude-3-5-haiku-20241022-v1:0,Result_anthropic.claude-3-5-sonnet-20240620-v1:0,Result_anthropic.claude-3-7-sonnet-20250219-v1:0,Result_gemini-2.5-flash,Result_gemini-2.5-pro,Result_gpt-4o,Result_gpt-4o-mini,Result_gpt-5,Result_meta.llama3-2-11b-instruct-v1:0,Result_meta.llama4-maverick-17b-instruct-v1:0,Result_meta.llama4-scout-17b-instruct-v1:0,Result_o1-mini,Score_amazon.nova-lite-v1:0,Score_amazon.nova-micro-v1:0,Score_amazon.nova-premier-v1:0,Score_amazon.nova-pro-v1:0,Score_anthropic.claude-3-5-haiku-20241022-v1:0,Score_anthropic.claude-3-5-sonnet-20240620-v1:0,Score_anthropic.claude-3-7-sonnet-20250219-v1:0,Score_gemini-2.5-flash,Score_gemini-2.5-pro,Score_gpt-4o,Score_gpt-4o-mini,Score_gpt-5,Score_meta.llama3-2-11b-instruct-v1:0,Score_meta.llama4-maverick-17b-instruct-v1:0,Score_meta.llama4-scout-17b-instruct-v1:0,Score_o1-mini
Hepatic arterial embolization for unresectable hepatocellular carcinomas: do technical factors affect prognosis?,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5
Hepatorenal syndrome: are we missing some prognostic factors?,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,3,3,5,2,5,5,5,4,5,3,3,5,3,4,5,5
High cumulative insulin exposure: a risk factor of atherosclerosis in type 1 diabetes?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Histologic evaluation of the testicular remnant associated with the vanishing testes syndrome: is surgical management necessary?,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,2,3,1,4,3,5,4,4,4,4,4,5,3,5,4,5
Household and food shopping environments: do they play a role in socioeconomic inequalities in fruit and vegetable consumption?,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,5,5,1,5,5,5,5,4,4,4,4,5,3,5,5,5
How does Boeing's effective tax rate in FY2022 compare to FY2021?,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,2,2,2,5,2,4,2,5,5,2,2,5,1,5,2,5
How much (in USD billions) did American Water Works pay out in cash dividends for FY2020? Compute or extract the answer by primarily using the details outlined in the statement of cash flows.,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5
How much does Pfizer expect to pay to spin off Upjohn in the future in USD million?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1
How much has the effective tax rate of American Express changed between FY2021 and FY2022?,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,5,1,1,5,5,5,5,1,5,1,1,1,1
How much has the effective tax rate of Corning changed between FY2021 and FY2022?,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,1,5,5,5,5,4,5
"How much was the Real change in Sales for AMCOR in FY 2023 vs FY 2022, if we exclude the impact of FX movement, passthrough costs and one-off items?",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
Human papillomavirus and pterygium. Is the virus a risk factor?,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,4
Hypotension in patients with coronary disease: can profound hypotensive events cause myocardial ischaemic events?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,4,5,5,5,4,4,4,4,5,4,5,2,5
Identification of racial disparities in breast cancer mortality: does scale matter?,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,4,4,1,1,4,4,5,3,4,4,4,4,4,4,5,5
"If JPM went bankrupted by the end by 2021 Q1 and liquidated all of its assets to pay its shareholders, how much could each shareholder get?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1,2
"If we exclude the impact of M&A, which segment has dragged down 3M's overall growth in 2022?",0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,2,2,1,2,2,1,1,2,2,2,1,1,2,2,2
Immune suppression by lysosomotropic amines and cyclosporine on T-cell responses to minor and major histocompatibility antigens: does synergy exist?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,4,4,4,5,4,5,5,5,4,5
Immunohistochemical assessment of steroid hormone receptors in tissues of the anal canal. Implications for anal incontinence?,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,5,4,5,1,4,4,4,4,4,4,4,5,5,4,3,4
Impact of MPH programs: contributing to health system strengthening in low- and middle-income countries?,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Implementation of epidural analgesia for labor: is the standard of effective analgesia reachable in all women?,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,4,3,5,4,3,4,5,4,5,4,5,5,4,5,2,4
Improvements in survival of gynaecological cancer in the Anglia region of England: are these an effect of centralisation of care and use of multidisciplinary management?,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"In 2022 Q2, which of JPM's business segments had the highest net income?",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,3,1,2,2,1,1,1,1,1,1,2,1,1
"In agreement with the information outlined in the income statement, what is the FY2015 - FY2017 3 year average net profit margin (as a %) for Best Buy? Answer in units of percents and round to one decimal place.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,2,2,1,1,1,2,1,2,1,2
In vivo visualization of pyloric mucosal hypertrophy in infants with hypertrophic pyloric stenosis: is there an etiologic role?,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,2,2,4,4,4,3,4,1,4,4,4,4,1,4,2,4
Increased neutrophil migratory activity after major trauma: a factor in the etiology of acute respiratory distress syndrome?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4,4,5,4,4,5,5,4,4,4,4,5,4,4,5,5
Informed consent for total hip arthroplasty: does a written information sheet improve recall by patients?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,4,5,5,5,5,5,4,4,5,5,4,5,5
Inhibin: a new circulating marker of hydatidiform mole?,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,3,4,1,4,5,5,1,4,4,4,4,5,4,5,2,4
Injury and poisoning mortality among young men--are there any common factors amenable to prevention?,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,4,3,4,4,4,5,3,4,4,5
Inpatient Pediatric Tonsillectomy: Does Hospital Type Affect Cost and Outcomes of Care?,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Inpatient versus outpatient management of neutropenic fever in gynecologic oncology patients: is risk stratification useful?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4,4,4,5,5,5,4,3,4,5,3,5,4,4,2,4
Internal derangement of the temporomandibular joint: is there still a place for ultrasound?,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,5,5,1,5,5,5,4,5,5,5,5,5,5,5,4,5
Intravenous administration of metoclopramide by 2 min bolus vs 15 min infusion: does it affect the improvement of headache while reducing the side effects?,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5
Is (18)F-FDG a surrogate tracer to measure tumor hypoxia?,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,4,5,4,2,5,3,5,4,5,4,2,5,4,5,4,4
Is 3M a capital-intensive business based on FY2022 data?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,2,2,4,3,2,2,2,2,2,3,3,2
Is Acupuncture Efficacious for Treating Phonotraumatic Vocal Pathologies?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Is Alveolar Macrophage Phagocytic Dysfunction in Children With Protracted Bacterial Bronchitis a Forerunner to Bronchiectasis?,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,2,3,3,3,3,3,3,2,5,3,3,3,3,3,3,3
Is Aspiration Thrombectomy Beneficial in Patients Undergoing Primary Percutaneous Coronary Intervention?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5
Is Bare-Metal Stent Implantation Still Justifiable in High Bleeding Risk Patients Undergoing Percutaneous Coronary Intervention?,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Is Boeing's business subject to cyclicality?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2
Is CA72-4 a useful biomarker in differential diagnosis between ovarian endometrioma and epithelial ovarian cancer?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Is CVS Health a capital-intensive business based on FY2022 data?,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,3,3,2,2,2,2,2,1,1,2,1,3,3,2
Is Chaalia/Pan Masala harmful for health?,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2
Is EQ-5D a valid quality of life instrument in patients with acute coronary syndrome?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Is HIV/STD control in Jamaica making a difference?,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Is Overexpression of Ki-67 a Prognostic Biomarker of Upper Tract Urinary Carcinoma?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5,5,5,5,5,4,4,4,5,5,5,5,4,5
Is Panton-Valentine leucocidin associated with the pathogenesis of Staphylococcus aureus bacteraemia in the UK?,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,5,5,2,5,4,5,4,5,5,4,5,5,5,5,5,5
Is There an Additional Value of Using Somatostatin Receptor Subtype 2a Immunohistochemistry Compared to Somatostatin Receptor Scintigraphy Uptake in Predicting Gastroenteropancreatic Neuroendocrine Tumor Response?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Is Verizon a capital intensive business based on FY 2022 data?,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,4,3,3,3,3,4,2,4,4,4,4,4,4,4,4,4
Is a 9-month treatment sufficient in tuberculous enterocolitis?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,4,5,5,5,5,4,4,4,4,4,5,4,5
Is a mandatory general surgery rotation necessary in the surgical clerkship?,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,4,5,5,4,4,4,4,4,4,3,4,4,4
Is a patient's self-reported health-related quality of life a prognostic factor for survival in non-small-cell lung cancer patients?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5
Is a pressor necessary during aortic perfusion and oxygenation therapy of cardiac arrest?,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,3,3,5,5,5,5,5,4,5,4,3,5,4,4,5,5
Is a specialised training of phonological awareness indicated in every preschool child?,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,5,4,5,4,5,5,5,3,5,5,1,5,4,4,4,5
Is acute fibrinous and organizing pneumonia the expression of immune dysregulation?,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,4,4,5,4,3,4,3,1,4,4,1,2,4,4,2,4
Is adjustment for reporting heterogeneity necessary in sleep disorders?,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,2
Is aerobic workload positively related to ambulatory blood pressure?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Is alexithymia a risk factor for unexplained physical symptoms in general medical outpatients?,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,5,5,5,4,5,5,5,4,5,4,5,5,4,5,4,4
Is amoxapine an atypical antipsychotic?,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,4,4,4,4,5,5,5,3,5,4,3,4,4,5,5,4
Is an advance care planning model feasible in community palliative care?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,3,4,4,4,3,4,4,3,5
Is aneurysm repair justified for the patients aged 80 or older after aneurysmal subarachnoid hemorrhage?,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,5
Is ankle/arm pressure predictive for cardiovascular mortality in older patients living in nursing homes?,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,4,4,5,4,5,4,4,4,4,4,1,5,1,4,3,4
Is anorectal endosonography valuable in dyschesia?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,4,3,4,3,5,5,5,4,4,4,4,4,5
Is arch form influenced by sagittal molar relationship or Bolton tooth-size discrepancy?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5
Is atropine needed with ketamine sedation?,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,5
Is being small for gestational age a risk factor for retinopathy of prematurity?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Is bicompartmental knee arthroplasty more favourable to knee muscle strength and physical performance compared to total knee arthroplasty?,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5
Is breast cancer prognosis inherited?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Is breast cancer survival improving?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
Is calibration the cause of variation in liquid chromatography tandem mass spectrometry testosterone measurement?,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,5,4,5,5,2,5,3,5,4,5
Is cardiovascular evaluation necessary prior to and during beta-blocker therapy for infantile hemangiomas?,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,3,3,4,3,3,3,4,3,4,3,4,4,3,3,4,3
Is cholecystectomy really an indication for concomitant splenectomy in mild hereditary spherocytosis?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,5
Is coeliac disease screening in risk groups justified?,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,2,5,2,5,4,5,3,2,3,5,3,5,4,5,2,5
Is combined therapy more effective than growth hormone or hyperbaric oxygen alone in the healing of left ischemic and non-ischemic colonic anastomoses?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,5,5,5,5,3,5,5,5,5,5,5,5
Is controlled ovarian stimulation in intrauterine insemination an acceptable therapy in couples with unexplained non-conception in the perspective of multiple pregnancies?,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,4,4,4,4,3,5,3,2,3,4,4,4,3,4,2,3
Is crime associated with over-the-counter pharmacy syringe sales?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5
Is cytokeratin immunoreactivity useful in the diagnosis of short-segment Barrett's oesophagus in Korea?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5
Is decompressive surgery effective for spinal cord sarcoidosis accompanied with compressive cervical myelopathy?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,5,5,5,5,5,5,5,4,5,4,5,5,5,5,4,5
Is delayed gastric emptying following pancreaticoduodenectomy related to pylorus preservation?,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2,3,2,2,2,2,2,2,5,2,2,2
Is determination between complete and incomplete traumatic spinal cord injury clinically relevant?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
Is dexamethasone an effective alternative to oral prednisone in the treatment of pediatric asthma exacerbations?,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,4,5,5,5,5,4,4,5,5
Is diffusion-weighted imaging a significant indicator of the development of vascularization in hypovascular hepatocellular lesions?,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
Is digoxin use for cardiovascular disease associated with risk of prostate cancer?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
Is discordance in TEOAE and AABR outcomes predictable in newborns?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3,4,4,3,4,4,4,3,4,4,3,4,3,3,4,3
"Is distance to provider a barrier to care for medicaid patients with breast, colorectal, or lung cancer?",1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,4,4,4,5,3,5,5,4,4,4,4,5,4,4,5,4
Is double-balloon enteroscopy an accurate method to diagnose small-bowel disorders?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,3,4,3,3,4,4,5,5,5
Is duration of psychological treatment for depression related to return into treatment?,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,4,4,5,4,4,4,4,4,4,3,3,4,3,3,3,4
Is eligibility for a chemotherapy protocol a good prognostic factor for invasive bladder cancer after radical cystectomy?,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2,5,5,4,5,5,5,4,4,4,2,5,2,4,4,4
Is endometrial polyp formation associated with increased expression of vascular endothelial growth factor and transforming growth factor-beta1?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
Is endothelin-1 an aggravating factor in the development of acute pancreatitis?,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5
Is etoricoxib effective in preventing heterotopic ossification after primary total hip arthroplasty?,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
Is expert breast pathology assessment necessary for the management of ductal carcinoma in situ ?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Is extended aortic replacement in acute type A dissection justifiable?,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,4,5,5,5,4,5,5,1,5,5,5,5,4,4,1,5
Is external palliative radiotherapy for gallbladder carcinoma effective?,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,4,4,5,3,4,5,5,3,3,4,3,4,4,3,5,4
Is fear of anaphylactic shock discouraging surgeons from more widely adopting percutaneous and laparoscopic techniques in the treatment of liver hydatid cyst?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,4,4,5,4,5,4,5
Is fetal anatomic assessment on follow-up antepartum sonograms clinically useful?,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
Is fetal gender associated with emergency department visits for asthma during pregnancy?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,5,4,5,5,4,5,5,4,4,5,5,5,4
Is first-line single-agent mitoxantrone in the treatment of high-risk metastatic breast cancer patients as effective as combination chemotherapy?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,4,4,5,5,4,4,4,4,5,4,5,4,5
Is fluoroscopy essential for retrieval of lower ureteric stones?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5
Is ganglionated plexi ablation during Maze IV procedure beneficial for postoperative long-term stable sinus rhythm?,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,5,5,4,5,5,5,5,4,4,5,4,5,5,4,4,5
Is gastric cancer different in Korea and the United States?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"Is gastric electrical stimulation superior to standard pharmacologic therapy in improving GI symptoms, healthcare resources, and long-term health care benefits?",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Is grandmultiparity an independent risk factor for adverse perinatal outcomes?,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
Is half-dose contrast-enhanced three-dimensional MR angiography sufficient for the abdominal aorta and pelvis?,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,4,5,5,3,3,4,5,4,5,5,4,5,2,4,4,5
Is halofantrine ototoxic?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Is high-sensitivity C-reactive protein associated with carotid atherosclerosis in healthy Koreans?,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
Is horizontal semicircular canal ocular reflex influenced by otolith organs input?,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,4,4,4,5,4,4,5,5,4,4,4,5,1,4,5,5
Is human cytomegalovirus infection associated with hypertension?,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
Is hypoalbuminemia an independent prognostic factor in patients with gastric cancer?,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,4,5,5,4,5,5,5,5,5,4,4,5,3,5,5,4
Is inhaled prophylactic heparin useful for prevention and Management of Pneumonia in ventilated ICU patients?,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5
Is intensive chemotherapy safe for rural cancer patients?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,5
Is intensive monitoring during the first transfusion in pediatric patients necessary?,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Is intraoperative neuromonitoring associated with better functional outcome in patients undergoing open TME?,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5
Is intrapartum vibroacoustic stimulation an effective predictor of fetal acidosis?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,5,4,4,4,4,3,4,4,3,4,3,3,4,5
Is irritable bowel syndrome a diagnosis of exclusion?,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,5,5,5,5,5,5,5,4,5,5,4,3,4,5,4,5
Is it Crohn's disease?,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,3,4,4,3,4,4,1,4,1,1,4,1,3,2,2
Is it appropriate to implant kidneys from elderly donors in young recipients?,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,5,5,5,5,5,4,5,5,5,5,5,4,5,5
Is it better to be big?,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,3,4,2,4,4,4,4,4,5,4,4,4,2,4,2,5
Is it necessary to insert a nasobiliary drainage tube routinely after endoscopic clearance of the common bile duct in patients with choledocholithiasis-induced cholangitis?,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Is it possible to stop treatment with nucleos(t)ide analogs in patients with e-antigen negative chronic hepatitis B?,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,3,4,4,4,4,4,4,2,3,3,4,4,3,3,5,4
Is it safe to perform rectal anastomosis in gynaecological debulking surgery without a diverting stoma?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2
Is it time to reconsider lobectomy in low-risk paediatric thyroid cancer?,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,3,4,5,4,5,4,5,5,5
Is laparoscopic adrenalectomy safe and effective for adrenal masses larger than 7 cm?,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,3,3,3,3,4,4,2,2,3,3,3,4,3,3,3,4
Is laparoscopic cholecystectomy safe and acceptable as a day case procedure?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5,4,5,5,5,4,5,5,5,5,5,4,5,5
Is laparoscopic reoperation for failed antireflux surgery feasible?,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,4,4,5,5,5,5,5,3,5,5,4,5,4,5,5,5
Is laparoscopic sonography a reliable and sensitive procedure for staging colorectal cancer?,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Is late-night salivary cortisol a better screening test for possible cortisol excess than standard screening tests in obese patients with Type 2 diabetes?,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Is leptin involved in phagocytic NADPH oxidase overactivity in obesity?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
Is low birth weight a risk indicator for congenital cytomegalovirus infection?,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,3,4,4,4,4,3,3,2,2,4,4,4,2,4,3,2
Is low serum chloride level a risk factor for cardiovascular mortality?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Is lumbar drainage of postoperative cerebrospinal fluid fistula after spine surgery effective?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,4,4,5,5,4,3,4,4,4,4,4,4,4,5
Is micro-computed tomography reliable to determine the microstructure of the maxillary alveolar bone?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5
Is minilaparoscopic inguinal hernia repair feasible?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,4,5,5,5,4,5,4,3,4,4,4,3,5
Is minimally invasive mitral valve repair with artificial chords reproducible and applicable in routine surgery?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Is motion perception deficit in schizophrenia a consequence of eye-tracking abnormality?,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,4,5,4,4,4,5,5,3,5,5,4,5,1,5,5,5
